artista_id;Channel
1;Gorillaz
1;Dom Dolla
1;SalvaMuñox
2;Red Hot Chili Peppers
3;50CentVEVO
3;EminemVEVO
3;Wu Sound
3;Lightning
4;Metallica
4;Metallica - Topic
4;Warner Records Vault
4;No Music, No Life !
5;Coldplay
5;Coldplay - Topic
5;ChainsmokersVEVO
6;convar HUN
6;Daft Punk
6;DaftPunkVEVO
7;Linkin Park
8;Radiohead
8;Justice Elan Wenzloff
8;Radiohead - Topic
9;acdcVEVO
9;Official Lives & Music Videos - Official Channel
10;BlackEyedPeasVEVO
10;Tiësto
11;michaeljacksonVEVO
11;MJ4481
11;vman
12;PinkVEVO
13;Mydełko
13;Lyrical Lemonade
14;PharrellWilliamsVEVO
14;CalvinHarrisVEVO
14;SZAVEVO
14;LIL UZI VERT
14;Tyler, The Creator
14;Pharrell Williams - Topic
15;BillieEilishVEVO
15;MarshmelloVEVO
15;Marshmello
15;KhalidVEVO
15;benny blanco
15;Ed Sheeran
16;Bizarrap
16;shakiraVEVO
16;Café Con Telenovelas
17;MGKVEVO
17;Atlantic Records
17;Vibe Music
18;NickyJamTV
18;RomeoSantosVEVO
18;TV Rajuela Producciones
18;Dalex
18;Anakin ent
18;PrinceRoyceVEVO
18;Latin Waves
18;DeeJay Morena
19;TheBeatlesVEVO
19;The Beatles - Topic
20;PitbullVEVO
20;Daddy Yankee
21;SeanPaulVEVO
21;SpiceOfficialVEVO
21;INNA
22;ElvisPresleyVEVO
22;Amelia Hops
22;y
22;gaaronpresley
23;Seven Hip-Hop
23;Makaveli 'G
23;UPROXX Video
23;Nozzy-E
23;pandele18
23;The Best
23;2PacVEVO
23;2Pac
23;YinonBeatz
24;bennyblancoVEVO
24;Wiz Khalifa
24;SnoopDoggVEVO
24;Meek Mill
24;gurra12
24;Lizos Music
24;WeipwnsallXD
25;LilWayneVEVO
25;DrakeVEVO
25;DistrictMusic
25;Lil Wayne - Topic
26;Sia
26;SiaVEVO
26;ZaynVEVO
26;Ozuna
27;Fleetwood Mac
27;Fleetwood Mac - Topic
28;AbbaVEVO
28;Nicolle Inverno
28;LONNIE
29;FrankSinatraVEVO
29;Glen Campbell and Much Much More
29;Sands-show
