ID;Track;Danceability;Energy;Key;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_ms
0;Feel Good Inc.;818;705;6.0;-6679;177;836;233;613;772;138559;222640.0
1;Rhinestone Eyes;676;703;8.0;-5815;302;869;687;463;852;92761;200173.0
2;New Gold (feat. Tame Impala and Bootie Brown);695;923;1.0;-3.93;522;425;469;116;551;108014;215150.0
3;On Melancholy Hill;689;739;2.0;-5.81;26;1.51e-05;509;64;578;120423;233867.0
4;Clint Eastwood;663;694;10.0;-8627;171;253;0.0;698;525;167953;340920.0
5;DARE;0.76;891;11.0;-5852;372;229;869;298;966;120264;245000.0
6;New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix;716;897;4.0;-7185;629;12;262;325;358;127.03;274142.0
7;She's My Collar (feat. Kali Uchis);726;815;11.0;-5886;313;799;81;112;462;140158;209560.0
8;Cracker Island (feat. Thundercat);741;913;2.0;-3.34;465;343;103;325;643;120012;213750.0
9;Dirty Harry;625;877;10.0;-7176;162;315;811;672;865;192296;230426.0
10;Californication;592;767;9.0;-2788;27;21;165;127;328;96483;329733.0
11;Under the Bridge;559;345;4.0;-13496;459;576;105;141;458;84581;264307.0
12;Can't Stop;618;938;9.0;-3442;456;179;0.0;167;875;91455;269000.0
13;Scar Tissue;595;717;0.0;-4803;295;779;274;108;547;88969;215907.0
14;Otherside;458;795;0.0;-3265;574;316;202;756;513;123229;255373.0
15;Snow (Hey Oh);427;0.9;11.0;-3674;499;116;1.75e-05;119;599;104655;334667.0
16;Dani California;556;913;0.0;-2.36;437;193;8.59e-06;346;0.73;96184;282160.0
17;By the Way;451;0.97;0.0;-4938;107;264;355;102;198;122444;216933.0
18;Give It Away;666;936;7.0;-9919;476;244;86;153;776;91577;282907.0
19;Dark Necessities;0.7;742;5.0;-6777;716;722;199;0.11;197;91959;302000.0
20;In Da Club;902;0.72;6.0;-2776;347;0.26;0.0;749;805;90059;193467.0
21;Candy Shop;614;574;11.0;-7961;466;253;3.2e-05;0.38;755;125173;209107.0
22;Just A Lil Bit;489;692;1.0;-6672;0.41;322;608;315;527;96946;237707.0
23;P.I.M.P.;0.7;758;10.0;-3012;342;444;1.3e-05;401;889;78693;249467.0
24;Many Men (Wish Death);653;826;6.0;-2.93;354;153;146;131;416;108.52;256227.0
25;Disco Inferno;925;659;3.0;-4763;231;206;7.88e-05;279;0.71;97018;214227.0
26;21 Questions;576;807;6.0;-3908;317;353;363;512;908;90012;224427.0
27;Is This Love ('09) (feat. 50 Cent);853;776;8.0;-4221;261;714;0.0;181;659;94028;212013.0
28;If I Can't;892;631;11.0;-2522;302;244;0.0;235;838;93975;196640.0
29;Best Friend - Remix;545;0.64;10.0;-3529;308;368;0.0;111;574;181733;254493.0
30;Enter Sandman (Remastered);566;834;6.0;-8412;298;277;8;625;621;123296;331560.0
31;Nothing Else Matters (Remastered);547;394;4.0;-9793;262;522;6.4e-06;795;0.17;142.37;388733.0
32;Master of Puppets (Remastered);539;828;4.0;-9108;35;67;421;154;562;105.25;515387.0
33;Whiskey In The Jar;511;972;10.0;-3751;413;5.36e-06;101;0.19;532;132.97;304893.0
34;The Unforgiven (Remastered);531;583;7.0;-9.47;256;184;624;255;207;139503;387160.0
35;One (Remastered);438;687;7.0;-9.15;619;668;801;0.42;426;103.01;446146.0
36;For Whom The Bell Tolls (Remastered);512;0.86;0.0;-6145;703;631;528;652;258;117909;309973.0
37;Lux Æterna;386;996;11.0;-2.96;754;1.15e-05;836;116;188;130573;205680.0
38;Sad But True (Remastered);624;876;7.0;-6005;342;926;164;561;453;89.24;324600.0
39;Screaming Suicide;425;972;4.0;-3448;45;2.42e-05;202;239;282;101125;330453.0
40;Yellow;429;661;11.0;-7227;281;239;121;234;285;173372;266773.0
41;Viva La Vida;486;617;5.0;-7115;287;954;3.23e-06;109;417;138015;242373.0
42;Sparks;371;268;1.0;-10506;281;748;517;104;165;102617;227093.0
