id_cancion;Uri;Stream
0;spotify:track:0d28khcov6AiegSCpG5TuT;1040234854
1;spotify:track:1foMv2HQwfQ2vntFf9HFeG;310083733
2;spotify:track:64dLd6rVqDLtkXFYrEUHIU;63063467
3;spotify:track:0q6LuUqGLUiCPP1cbdwFs3;434663559
4;spotify:track:7yMiX7n9SBvadzox8T5jzT;617259738
5;spotify:track:4Hff1IjRbLGeLgFgxvHflk;323850327
6;spotify:track:2c3KCGq6UojB2c8UAFrRON;10666154
7;spotify:track:3lIxtCaROdRDuTnNBDm3n2;159605929
8;spotify:track:2W3ZpQg9i6lE6kmHbcdu9N;42671901
9;spotify:track:2bfGNzdiRa1jXZRdfssSzR;191074713
10;spotify:track:48UPSzbZjgc449aqz8bxox;1055738398
11;spotify:track:3d9DChrdc6BOeFsbrZ3Is0;1061750522
12;spotify:track:3ZOEytgrvLwQaqXreDs2Jx;866464951
13;spotify:track:1G391cbiT3v3Cywg8T7DM1;613838674
14;spotify:track:64BbK9SFKH2jk86U3dGj2P;732774515
15;spotify:track:2aibwv5hGXSgw7Yru8IYTO;860722316
16;spotify:track:10Nmj3JCNoMeBQ87uw5j8k;550067391
17;spotify:track:1f2V8U1BiWaC9aJWmpOARe;367485508
18;spotify:track:0uppYCG86ajpV2hSR3dJJ0;301947159
19;spotify:track:2oaK4JLVnmRGIO9ytBE1bt;385677873
20;spotify:track:4RY96Asd9IefaL3X4LOLZ8;1041736808
21;spotify:track:5D2mYZuzcgjpchVY1pmTPh;701248893
22;spotify:track:4nva9EpKntUTs6CRSGBCn9;395155110
23;spotify:track:2D1hlMwWWXpkc3CZJ5U351;541728561
24;spotify:track:2I9foKseoFQh07p6sD2voE;332175400
25;spotify:track:69bHJ9qs5FrUJbKP8xU8uZ;202477187
26;spotify:track:41bIQPBE1lFN0mmw6Lmssz;446003044
27;spotify:track:7rK0iM6jwuo1oizdx8suQA;28529840
28;spotify:track:7JeKXMQKm6GoLGTkNy2jZ0;210473579
29;spotify:track:1wI3UvluGGKUeFeVFsP9do;160037992
30;spotify:track:3VqHuw0wFlIHcIPWkhIbdQ;
31;spotify:track:2CtemffYhT0DJWcT1XW047;
32;spotify:track:54bm2e3tk8cliUz3VSdCPZ;
33;spotify:track:3ZpWy5rBZv2aLQAldnmTsP;327681785
34;spotify:track:7lwvxYumAEo10lzAplRGXM;
35;spotify:track:0LAcM6I7ijW4VVW0aytl1t;
36;spotify:track:51YZAJhOwIC5Gg3jMbAmhZ;
37;spotify:track:3pwmJJRlr8nXNN9PFD18np;20061385
38;spotify:track:5UaDi8KzCGJqFfVAOBfXhi;
39;spotify:track:6ZCh9hBeFzMIPycRnyPqZT;3905429
40;spotify:track:3AJwUDP919kvQ9QcozQPxg;1483622308
41;spotify:track:1mea3bSkSGXuIRvnydlB5b;1325575712
42;spotify:track:7D0RhFcb3CrfPuTJ0obrod;475353044
43;spotify:track:6RUKPb4LETWmmr3iAEQktW;2030825694
44;spotify:track:75JFxkI2RXiU7L9VXzMkle;1465980600
45;spotify:track:0FDzzruyVECATHXKHFs9eJ;1021782403
46;spotify:track:6nek1Nin9q48AVZcWs9e9D;927288329
47;spotify:track:3RiPr603aXAoi4GHyXx0uy;1049654852
48;spotify:track:46HNZY1i7O6jwTA7Slo2PI;883224238
49;spotify:track:7LVHVU3tWfcxj5aiPFEW4Q;1115171056
50;spotify:track:2Foc5Q5nqNiosCNqttzHof;844698895
51;spotify:track:0DiWol3AO6WpXZgp0goxAV;471747761
52;spotify:track:2cGxRwrMyEAp8dEbuZaVv6;460589724
53;spotify:track:69kOkLUCkxIZYexIgSG8rq;400304719
54;spotify:track:1pKYYY0dkg23sQQXi0Q5zN;293417547
55;spotify:track:5W3cjX2J3tjhG8zb6u0qHn;292668007
56;spotify:track:1NeLwFETswx8Fzxl2AFl91;185381876
57;spotify:track:5CMjjywI0eZMixPeqNd75R;274711166
58;spotify:track:2LD2gT7gwAurzdQDQtILds;90589464
59;spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym;115484456
60;spotify:track:60a0Rd6pjrkxjPbaKzXjfq;1444841705
61;spotify:track:2nLtzopw4rPReszdYBJU6h;1195213410
62;spotify:track:18lR4BzEs7e3qzc0KVkTpU;589294152
63;spotify:track:5sNESr6pQfIhL3krM8CtZn;778880225
64;spotify:track:3K4HG9evC7dg3N0R9cYqk4;447287242
65;spotify:track:4Yf5bqU3NK4kNOypcrLYwU;413355749
66;spotify:track:0UFDKFqW2oGspYeYqo9wjA;388331061
67;spotify:track:1Vej0qeQ3ioKwpI6FUbRv1;345142662
68;spotify:track:57BrRMwf9LrcmuOsyGilwr;391929621
69;spotify:track:7oVEtyuv9NBmnytsCIsY5I;368132993
70;spotify:track:70LcF31zb1H0PyJoS1Sx1r;1101854725
71;spotify:track:10nyNJ6zNy2YVYLrcwLccB;379349681
72;spotify:track:63OQupATfueTdZMWTxW03A;382823305
73;spotify:track:2a1iMaoWQ5MnvLFBDv4qkf;291096318
74;spotify:track:0z1o5L7HJx562xZSATcIpY;146857863
75;spotify:track:4wajJ1o7jWIg62YqpkHC7S;121688699
76;spotify:track:0YJ9FWWHn9EfnN0lHwbzvV;79367881
77;spotify:track:73CKjW3vsUXRpy3NnX4H7F;219867047
78;spotify:track:1dyTcli07c77mtQK3ahUZR;88945336
79;spotify:track:35YyxFpE0ZTOoqFx5bADW8;86388469
80;spotify:track:2zYzyRzz6pRmhPzyfMEC8s;1143164505
81;spotify:track:57bgtoPSgt236HzfBOd8kj;1088388556
82;spotify:track:08mG3Y1vljYA6bvDt4Wqkj;1182379398
83;spotify:track:2SiXAy7TuUkycRVbbWDEpo;802076123
84;spotify:track:7LRMbd3LEoV5wZJvXT1Lwb;526521070
85;spotify:track:69QHm3pustz01CJRwdo20z;296521772
86;spotify:track:2d4e45fmUnguxh6yqC7gNT;269837425
87;spotify:track:0C80GCp0mMuBzLf3EAXqxv;292026041
88;spotify:track:7nemcVsXVFZF01iqpIIo2Y;196347993
89;spotify:track:4feXJ5IC3avXsVW9WNFSag;144143014
90;spotify:track:2H1047e0oMSj10dgp7p2VG;1001227038
91;spotify:track:0YJW8OXw8G1xDfkzaID3vv;162685755
92;spotify:track:0xmjwnQ3FNE6HuWCt2nHdZ;752091441
93;spotify:track:3JA9Jsuxr4xgHXEawAdCp4;331578264
94;spotify:track:1zLBsSVxETQOfINOLYvT5m;453923193
95;spotify:track:6btyEL6NwUa97Nex9cZFvo;492130246
96;spotify:track:2yEHX6MqAXPyD7bm47A2Br;27908495
97;spotify:track:6wOYnPq1hPihRepcDClPUw;363930118
98;spotify:track:5NyS3oxTlos3Agl2YtZwrC;869795408
99;spotify:track:31rWRFlQyMpmF6hfN4vUFj;18501860
100;spotify:track:7J1uxwnxfQLu4APicE5Rnj;1302677366
101;spotify:track:5BKKy9fIJL5uM9fz1SnqyP;103974637
102;spotify:track:3BovdzfaX4jb5KFQwoPfAw;826832314
103;spotify:track:5T7ywazdGIydr6JCW6t02j;526030670
104;spotify:track:7oOOI85fVQvVnK5ynNMdW7;346137424
105;spotify:track:46eu3SBuFCXWsPT39Yg3tJ;389644450
106;spotify:track:3wuCCNCnBhJlwkIJTBZFiv;256361972
